LIGA,#,FECHA,HASTA,COMPETENCIA,PRUEBA,CIUDAD,CATEGORIA
PATINAJE,163,02/08/2023 12:00:00 AM,03/19/2023 12:00:00 AM,VALIDA NACIONAL INTERCUBLES,MAYORES,CALI,PATINAJE
PATINAJE,164,02/09/2023 12:00:00 AM,03/20/2023 12:00:00 AM,CAMP NACIONAL INTERLIGAS CLASIFICATORIOS JUEGOS NACIONALES 2023,MAYORES,CALI,PATINAJE
PATINAJE,165,02/10/2023 12:00:00 AM,03/21/2023 12:00:00 AM,CAMP NACIONAL INTERCLUBES MAYORES CLASIFICATORIO JUEGOS NACIONALES 2023,MAYORES,CALI,PATINAJE
PATINAJE ARTISTICO,166,02/11/2023 12:00:00 AM,03/22/2023 12:00:00 AM,PRIMER INTERCLUBES CLASIFICATORIO JUEGOS NACIONALES 2023,MAYORES Y JUNIOR,CALI,PATINAJE ARTISTICO
PATINAJE ARTISTICO,167,02/12/2023 12:00:00 AM,03/23/2023 12:00:00 AM,CAMP NACIONAL INTERLIGA CLASIFICATORIO JUEGOS NACIONALES 2023,MAYORES Y CUARTETOS,CALI,PATINAJE ARTISTICO
PATINAJE ARTISTICO,168,02/13/2023 12:00:00 AM,03/24/2023 12:00:00 AM,ENCUENTRO NAC DE ESCUELAS,NOVATOS E INICIACION,CALI,PATINAJE ARTISTICO
CICLISMO,169,02/14/2023 12:00:00 AM,03/25/2023 12:00:00 AM,CAMPEONATO NACIONAL DE RUTA,ELITE SUB 23 Y DAMAS,PEREIRA,CICLIMSO
CICLISMO,170,02/15/2023 12:00:00 AM,03/26/2023 12:00:00 AM,VUELTA AL TOLIMA,ELITE SUB 23 JUVENIL Y DAMAS,TOLIMA,CICLIMSO
CICLISMO,171,02/16/2023 12:00:00 AM,03/27/2023 12:00:00 AM,VUELTA DE LA JUVENTUD,JUVENIL,POR DEFINIR,CICLIMSO
CICLISMO,172,02/17/2023 12:00:00 AM,03/28/2023 12:00:00 AM,VUELTA AL SUR,ELITE Y DAMAS,"TOLIMA, HUILA CUNDINAMARCA",CICLIMSO
CICLISMO,173,02/18/2023 12:00:00 AM,03/29/2023 12:00:00 AM,VUELTA A COLOMBIA,ELITE,COLOMBIA,CICLIMSO
CICLISMO,174,02/19/2023 12:00:00 AM,03/30/2023 12:00:00 AM,CLASICO RCN,ELITE,COLOMBIA,CICLIMSO
CICLISMO,175,02/20/2023 12:00:00 AM,03/31/2023 12:00:00 AM,CLASICO RCN,JUVENIL Y DAMAS ELITE,COLOMBIA,CICLIMSO
CICLISMO,176,02/21/2023 12:00:00 AM,04/01/2023 12:00:00 AM,CLASICO RCN,PRE JUVENIL,COLOMBIA,CICLIMSO
BMX,177,02/22/2023 12:00:00 AM,04/02/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,BMX
BMX,178,02/23/2023 12:00:00 AM,04/03/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,BMX
BMX,179,02/24/2023 12:00:00 AM,04/04/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,BMX
BMX,180,02/25/2023 12:00:00 AM,04/05/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,BMX
BMX,181,02/26/2023 12:00:00 AM,04/06/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,BMX
MTB,182,02/27/2023 12:00:00 AM,04/07/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,MTB
MTB,183,02/28/2023 12:00:00 AM,04/08/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,MTB
MTB,184,03/01/2023 12:00:00 AM,04/09/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,MTB
MTB,185,03/02/2023 12:00:00 AM,04/10/2023 12:00:00 AM,CLASICO RCN,TODAS,COLOMBIA,MTB
